ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10994508,JA321899,06/25/2017 12:05:00 PM,088XX S COTTAGE GROVE AVE,1661,GAMBLING,GAME/DICE,OTHER,true,false,0632,006,8,44,19,1183113,1846339,2017,07/02/2017 03:55:24 PM,41.733551299,-87.604749489,"(41.733551299, -87.604749489)"
10994814,JA322390,06/25/2017 06:37:00 PM,020XX W 69TH PL,1661,GAMBLING,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),true,false,0735,007,17,67,19,1163937,1858564,2017,07/02/2017 03:55:24 PM,41.767522463,-87.674657944,"(41.767522463, -87.674657944)"
10998996,JA326231,06/28/2017 02:25:00 PM,036XX W DIVISION ST,1661,GAMBLING,GAME/DICE,STREET,true,false,1112,011,27,23,19,1151683,1907749,2017,07/05/2017 03:54:44 PM,41.902741192,-87.718283745,"(41.902741192, -87.718283745)"
10999320,JA326658,06/28/2017 06:20:00 PM,039XX W JACKSON BLVD,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,28,26,19,1150169,1898397,2017,07/05/2017 03:54:44 PM,41.877107968,-87.724088882,"(41.877107968, -87.724088882)"
11003370,JA331544,07/02/2017 02:15:00 PM,007XX N LAWNDALE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1151587,1904667,2017,07/09/2017 03:51:20 PM,41.894285768,-87.718717474,"(41.894285768, -87.718717474)"
11003463,JA331696,07/02/2017 04:15:00 PM,072XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0832,008,18,66,19,1161297,1856534,2017,07/09/2017 03:51:20 PM,41.76200692,-87.684390878,"(41.76200692, -87.684390878)"
11003509,JA331736,07/02/2017 04:21:00 PM,070XX S PAULINA ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0735,007,17,67,19,1166228,1858016,2017,07/09/2017 03:51:20 PM,41.765970227,-87.666275989,"(41.765970227, -87.666275989)"
11004370,JA332754,07/03/2017 01:23:00 PM,056XX W MADISON ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1513,015,29,25,19,1138782,1899457,2017,07/10/2017 03:57:27 PM,41.880230942,-87.765873466,"(41.880230942, -87.765873466)"
11004509,JA332984,07/03/2017 03:25:00 PM,020XX W 69TH PL,1680,GAMBLING,OTHER,SIDEWALK,true,false,0735,007,17,67,19,1164039,1858566,2017,07/10/2017 03:57:27 PM,41.767525807,-87.674284012,"(41.767525807, -87.674284012)"
11010618,JA340191,07/08/2017 09:20:00 PM,088XX S ESCANABA AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0423,004,10,46,19,1196923,1846896,2017,07/15/2017 03:51:24 PM,41.734747817,-87.554139022,"(41.734747817, -87.554139022)"
11012826,JA342762,07/10/2017 08:03:00 PM,008XX N MONTICELLO AVE,1651,GAMBLING,GAME/CARDS,SIDEWALK,true,false,1112,011,27,23,19,1151901,1905266,2017,07/17/2017 03:54:55 PM,41.895923306,-87.717548451,"(41.895923306, -87.717548451)"
11014207,JA344125,07/11/2017 07:20:00 PM,033XX W GLADYS AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,1134,011,28,27,19,1154354,1898103,2017,07/18/2017 03:52:43 PM,41.876218655,-87.708730543,"(41.876218655, -87.708730543)"
11016809,JA346846,07/13/2017 07:39:00 PM,033XX W FLOURNOY ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1134,011,24,27,19,1154276,1896837,2017,07/20/2017 03:55:01 PM,41.872746175,-87.709050742,"(41.872746175, -87.709050742)"
11019037,JA349503,07/15/2017 06:40:00 PM,0000X S LEAMINGTON AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,28,25,19,1142141,1899417,2017,07/22/2017 03:52:17 PM,41.88005957,-87.753540414,"(41.88005957, -87.753540414)"
11027320,JA358702,07/22/2017 12:39:00 PM,0000X S LEAMINGTON AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,28,25,19,1142141,1899414,2017,07/29/2017 03:56:00 PM,41.880051337,-87.753540489,"(41.880051337, -87.753540489)"
11028682,JA360618,07/23/2017 09:39:00 PM,007XX N HOMAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1153575,1904816,2017,07/30/2017 03:51:44 PM,41.894655328,-87.71141215,"(41.894655328, -87.71141215)"
11031824,JA364424,07/26/2017 03:35:00 PM,040XX W MONROE ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1115,011,28,26,19,1149519,1899355,2017,08/02/2017 03:54:51 PM,41.879749464,-87.72645064,"(41.879749464, -87.72645064)"
